2025-06-06T00:00:00,T1,-12.99,C
2025-06-06T00:00:00,H1,72.06,%
2025-06-06T00:00:00,P1,997.97,hPa
2025-06-06T00:00:00,L1,6142.96,lux
2025-06-06T00:30:00,T1,-12.31,C
2025-06-06T00:30:00,H1,53.3,%
2025-06-06T00:30:00,P1,997.25,hPa
2025-06-06T00:30:00,L1,4805.85,lux
2025-06-06T01:00:00,T1,5.18,C
2025-06-06T01:00:00,H1,33.8,%
2025-06-06T01:00:00,P1,1002.02,hPa
2025-06-06T01:00:00,L1,3674.7,lux
2025-06-06T01:30:00,T1,-1.48,C
2025-06-06T01:30:00,H1,13.68,%
2025-06-06T01:30:00,P1,1001.89,hPa
2025-06-06T01:30:00,L1,1017.62,lux
2025-06-06T02:00:00,T1,-4.06,C
2025-06-06T02:00:00,H1,70.9,%
2025-06-06T02:00:00,P1,1001.82,hPa
2025-06-06T02:00:00,L1,9190.58,lux
2025-06-06T02:30:00,T1,6.66,C
2025-06-06T02:30:00,H1,31.45,%
2025-06-06T02:30:00,P1,995.37,hPa
2025-06-06T02:30:00,L1,3976.84,lux
2025-06-06T03:00:00,T1,45.25,C
2025-06-06T03:00:00,H1,65.95,%
2025-06-06T03:00:00,P1,993.91,hPa
2025-06-06T03:00:00,L1,8226.81,lux
2025-06-06T03:30:00,T1,48.38,C
2025-06-06T03:30:00,H1,32.61,%
2025-06-06T03:30:00,P1,993.53,hPa
2025-06-06T03:30:00,L1,2384.33,lux
2025-06-06T04:00:00,T1,46.02,C
2025-06-06T04:00:00,H1,28.21,%
2025-06-06T04:00:00,P1,990.25,hPa
2025-06-06T04:00:00,L1,656.2,lux
2025-06-06T04:30:00,T1,16.43,C
2025-06-06T04:30:00,H1,86.41,%
2025-06-06T04:30:00,P1,1001.98,hPa
2025-06-06T04:30:00,L1,6899.49,lux
2025-06-06T05:00:00,T1,35.33,C
2025-06-06T05:00:00,H1,22.61,%
2025-06-06T05:00:00,P1,1001.22,hPa
2025-06-06T05:00:00,L1,3383.42,lux
2025-06-06T05:30:00,T1,-16.07,C
2025-06-06T05:30:00,H1,55.35,%
2025-06-06T05:30:00,P1,1003.32,hPa
2025-06-06T05:30:00,L1,2018.95,lux
2025-06-06T06:00:00,T1,-1.51,C
2025-06-06T06:00:00,H1,32.11,%
2025-06-06T06:00:00,P1,1001.16,hPa
2025-06-06T06:00:00,L1,1543.58,lux
