timestamp,sensor_id,value,unit
2025-05-03T21:26:02.376920,T1,-14.758208629052733,캜
2025-05-03T21:26:02.377739,H1,33.49744806091876,%
2025-05-03T21:26:02.377870,P1,995.554401808662,hPa
2025-05-03T21:26:04.378328,T1,2.5850993812947713,캜
2025-05-03T21:26:04.378622,H1,9.757577801231054,%
2025-05-03T21:26:04.378805,P1,1031.7218912756302,hPa
2025-05-03T21:26:06.379854,T1,-3.2452219019044364,캜
2025-05-03T21:26:06.380043,H1,70.11560719822847,%
2025-05-03T21:26:06.380176,P1,1023.9930654898853,hPa
2025-05-03T21:26:08.381271,T1,36.66976148541694,캜
2025-05-03T21:26:08.381458,H1,81.06282299749407,%
2025-05-03T21:26:08.381560,P1,1019.6959530515949,hPa
2025-05-03T21:26:10.382253,T1,11.616083207500157,캜
2025-05-03T21:26:10.382745,H1,80.26779290979935,%
2025-05-03T21:26:10.383177,P1,980.3206111570029,hPa
2025-05-03T21:26:12.383816,T1,10.913035176253373,캜
2025-05-03T21:26:12.384023,H1,4.466537708181983,%
2025-05-03T21:26:12.384150,P1,1003.2873991587219,hPa
2025-05-03T21:26:14.385213,T1,0.1072909243703144,캜
2025-05-03T21:26:14.385695,H1,25.12368786974176,%
2025-05-03T21:26:14.386032,P1,1007.086810520442,hPa
2025-05-03T21:26:16.387348,T1,27.175575229797545,캜
2025-05-03T21:26:16.387511,H1,44.50088055891695,%
2025-05-03T21:26:16.387594,P1,1029.2903296038787,hPa
2025-05-03T21:26:18.388713,T1,28.94882084433909,캜
2025-05-03T21:26:18.388883,H1,46.80728424625799,%
2025-05-03T21:26:18.388966,P1,1039.0615501750071,hPa
2025-05-03T21:37:08.308283,T1,3.5232365449408256,째C
2025-05-03T21:37:08.308989,H1,24.161314637043528,%
2025-05-03T21:37:08.309523,P1,959.0964280599297,hPa
2025-05-03T21:37:10.310616,T1,43.10099150937595,째C
2025-05-03T21:37:10.311289,H1,62.21692072730425,%
2025-05-03T21:37:10.311797,P1,974.1529955310149,hPa
2025-05-03T21:37:12.312364,T1,-1.3773040624835353,째C
2025-05-03T21:37:12.312573,H1,86.14866889108998,%
2025-05-03T21:37:12.312691,P1,1016.1692620684914,hPa
2025-05-03T21:37:14.312973,T1,42.86582793240562,째C
2025-05-03T21:37:14.313185,H1,49.880437370309224,%
2025-05-03T21:37:14.313444,P1,999.2576069700324,hPa
2025-05-03T21:37:16.314221,T1,24.13925357381372,째C
2025-05-03T21:37:16.314777,H1,79.09650246066036,%
2025-05-03T21:37:16.315178,P1,1031.4059409664962,hPa
2025-05-03T21:37:18.316806,T1,15.246314782306342,째C
2025-05-03T21:37:18.317128,H1,1.1715037248632987,%
2025-05-03T21:37:18.317295,P1,1034.0701696868284,hPa
2025-05-03T21:37:20.318117,T1,-5.910376192145792,째C
2025-05-03T21:37:20.318594,H1,13.705368918775573,%
2025-05-03T21:37:20.318808,P1,1029.2597878998804,hPa
2025-05-03T21:37:22.319628,T1,19.411951627806502,째C
2025-05-03T21:37:22.320300,H1,12.946760997310292,%
2025-05-03T21:37:22.320805,P1,1028.2786655664977,hPa
2025-05-03T21:37:24.322322,T1,0.8915085073703075,째C
2025-05-03T21:37:24.322558,H1,5.105974165299443,%
2025-05-03T21:37:24.322694,P1,1036.4693165035978,hPa
2025-05-03T22:09:35.882697,temp_001,21.71,C
2025-05-03T22:09:36.883120,temp_001,28.63,C
2025-05-03T22:09:37.884458,temp_001,20.06,C
2025-05-03T22:09:38.885693,temp_001,21.28,C
2025-05-03T22:09:39.886491,temp_001,29.69,C
2025-05-03T22:09:40.887969,temp_001,25.44,C
2025-05-03T22:09:41.889621,temp_001,25.7,C
2025-05-03T22:09:42.890383,temp_001,27.49,C
2025-05-03T22:09:43.891349,temp_001,23.14,C
2025-05-03T22:09:44.892113,temp_001,25.41,C
2025-05-03T22:09:58.165729,T1,13.791960327289715,째C
2025-05-03T22:09:58.166435,H1,0.008385428913848525,%
2025-05-03T22:09:58.167132,P1,960.5394412686534,hPa
2025-05-03T22:10:00.168239,T1,42.361412049570134,째C
2025-05-03T22:10:00.168910,H1,15.059544557346937,%
2025-05-03T22:10:00.169417,P1,973.1760720753703,hPa
2025-05-03T22:10:02.170340,T1,-4.626819665821593,째C
2025-05-03T22:10:02.171007,H1,94.21747439556778,%
2025-05-03T22:10:02.171497,P1,1031.181564982671,hPa
2025-05-03T22:10:04.172127,T1,12.370627275760114,째C
2025-05-03T22:10:04.172800,H1,85.41300707046574,%
2025-05-03T22:10:04.173300,P1,968.5743223199904,hPa
2025-05-03T22:10:06.174535,T1,-4.294479698826487,째C
2025-05-03T22:10:06.175204,H1,17.29176964482487,%
2025-05-03T22:10:06.175698,P1,989.2982656499032,hPa
2025-05-03T22:10:08.176299,T1,47.16775308372024,째C
2025-05-03T22:10:08.176973,H1,47.14920956279691,%
2025-05-03T22:10:08.177477,P1,970.2803294465635,hPa
2025-05-03T22:10:10.178745,T1,-12.790276532772946,째C
2025-05-03T22:10:10.179425,H1,52.10715506825324,%
2025-05-03T22:10:10.180064,P1,955.4898271954831,hPa
2025-05-03T22:10:12.181409,T1,-14.602686654289219,째C
2025-05-03T22:10:12.181798,H1,95.16412366657794,%
2025-05-03T22:10:12.182060,P1,962.9354450119217,hPa
2025-05-03T22:10:14.182431,T1,-13.841030899336868,째C
2025-05-03T22:10:14.182849,H1,40.761295996268856,%
2025-05-03T22:10:14.183136,P1,1022.1318888299122,hPa
